     Vibration        Wavenumber
        Nr             [1/cm] 
        1              200.63
        2              332.60
        3              516.70
        4              557.97
        5              607.15
        6              739.63
        7              830.35
        8              857.27
        9              901.75
       10              986.99
       11             1008.86
       12             1075.75
       13             1096.01
       14             1106.02
       15             1133.23
       16             1147.81
       17             1262.29
       18             1288.71
       19             1293.02
       20             1372.56
       21             1465.47
       22             1489.48
       23             1521.65
       24             1551.59
       25             1592.66
       26             1607.90
       27             1803.95
       28             1854.38
       29             3125.07
       30             3133.66
       31             3200.23
       32             3201.18
       33             3300.05
       34             3306.80
       35             3324.96
       36             3336.60
